model,n,term,coef,pvalue,r_squared
ad_total_size_pct,301,const,70.38118849345295,7.034451982418326e-63,0.0012568782479623897
ad_total_size_pct,301,quality_index,20.42495808859981,0.5554624128797963,0.0012568782479623897
ad_total_size_pct,301,political_score,-0.06776195554141837,0.8550072740949479,0.0012568782479623897
visits,722,const,527541.3656862789,5.520367749856803e-209,0.45688248926715214
visits,722,quality_index,-1210787.8732822156,7.578930130369678e-87,0.45688248926715214
visits,722,political_score,5678.4876291140945,1.0792781219405881e-07,0.45688248926715214
unique_visitors,722,const,351736.91120336566,9.408489121616618e-207,0.4280375623950792
unique_visitors,722,quality_index,-776061.7293488295,1.4039533818958235e-80,0.4280375623950792
unique_visitors,722,political_score,3225.801418403866,6.94942827845502e-06,0.4280375623950792
total_pages,722,const,1517387.602656495,3.575587436746223e-194,0.46298839141615267
total_pages,722,quality_index,-3784767.6885393644,3.717309232728646e-89,0.46298839141615267
total_pages,722,political_score,16642.25173416141,3.9104220265511273e-07,0.46298839141615267
total_time_hours,722,const,194846.69938158727,5.472472214878149e-182,0.4630191565447813
total_time_hours,722,quality_index,-509832.91619873233,4.545268301609887e-88,0.4630191565447813
total_time_hours,722,political_score,2478.509036188341,2.8025946863507055e-08,0.4630191565447813
